Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1566079200.0 101.0 87 NA NA 161 NA NA 1495 NA NA 2861 NA NA
1566079200.0 102.0 86 NA NA 161 NA NA 1225 NA NA 2289 NA NA
1566079200.0 123.3 228 NA NA 687 NA NA 1488 NA NA 2122 NA NA
1566079200.0 124.6 234 NA NA 687 NA NA 1411 NA NA 1794 NA NA
1566079200.0 1325.5 NA 170 0 NA 266 0 NA 4784 138 NA 6022 365
1566079200.0 1325.51 NA 157 0 NA 255 0 NA 2811 175 NA 5195 333
1566079200.0 1325.8 NA 208 0 NA 315 0 NA 4264 164 NA 5652 664
1566079200.0 1329.1 NA 195 0 NA 302 0 NA 5558 142 NA 6138 445
1566079200.0 135.8 181 NA NA 255 NA NA 759 NA NA 1388 NA NA
1566079200.0 136.7611 NA 177 0 NA 274 0 NA 5287 171 NA 6016 437
1566079200.0 136.7721 NA 171 0 NA 285 0 NA 5018 137 NA 5857 395
1566079200.0 136.7722 NA 184 0 NA 298 0 NA 5374 152 NA 6115 674
1566079200.0 136.7801 NA 117 0 NA 185 0 NA 651 404 NA 881 849
1566079200.0 136.7803 NA 117 0 NA 199 0 NA 905 377 NA 1205 809
1566079200.0 2017.8 211 NA NA 311 NA NA 738 NA NA 940 NA NA
1566079200.0 5.2 232 0 NA 679 0 NA 1548 463 NA 2506 946 NA
1566079200.0 5.3 231 0 NA 645 0 NA 1954 477 NA 3688 965 NA
1566079200.0 513.0 22 46 0 67 95 0 865 211 201 2314 525 714
1566079200.0 516.0 22 46 0 68 95 0 840 222 199 2135 520 722
1566079200.0 517.0 20 39 0 64 93 0 1410 321 186 2667 812 354
1566079200.0 519.0 22 45 0 68 93 0 940 305 207 3007 1151 673
1566079200.0 521.0 21 46 0 68 94 0 913 217 198 2730 587 678
1566079200.0 524.0 20 38 0 64 94 0 1408 319 192 2431 1175 317
1566079200.0 525.0 21 47 0 68 94 0 916 300 207 2557 1136 676
1566079200.0 528.0 22 40 0 67 93 0 869 215 235 2555 517 818
1566079200.0 530.0 20 45 0 64 94 0 1379 313 192 2258 632 343
1566079200.0 552.0 20 49 0 63 92 0 1441 215 199 2592 349 412
1566079200.0 554.0 21 47 0 64 94 0 1877 265 232 3347 766 828
