Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1566162000.0 1.0 70 96 177 NA NA 182 395 525 NA NA 1114 596 1576 NA NA 3345 1354 2377 NA NA
1566162000.0 10.0 NA 126 294 0 NA NA 481 619 0 NA NA 2663 4709 1059 NA NA 1764 4621 1402 NA
1566162000.0 1001.2 NA 375 130 0 NA NA 691 214 0 NA NA 16431 2250 158 NA NA 7625 1998 224 NA
1566162000.0 1002.0 NA 282 75 NA NA NA 584 139 NA NA NA 3872 667 NA NA NA 4566 959 NA NA
1566162000.0 10024.2 NA 213 371 0 NA NA 534 719 0 NA NA 3100 3171 1600 NA NA 1868 3572 1916 NA
1566162000.0 10024.4 NA 211 367 0 NA NA 558 653 0 NA NA 3042 3122 1629 NA NA 1593 3774 1901 NA
1566162000.0 10024.5 NA 213 94 0 NA NA 560 229 0 NA NA 2975 795 278 NA NA 3042 4057 1474 NA
1566162000.0 1003.0 NA 266 0 NA NA NA 601 0 NA NA NA 4304 867 NA NA NA 3511 1628 NA NA
1566162000.0 101.0 77 NA NA NA NA 172 NA NA NA NA 945 NA NA NA NA 3418 NA NA NA NA
1566162000.0 1010.0 NA 24 38 0 NA NA 89 101 0 NA NA 237 352 272 NA NA 1084 2601 886 NA
1566162000.0 102.0 83 NA NA NA NA 172 NA NA NA NA 930 NA NA NA NA 2603 NA NA NA NA
1566162000.0 103.0 33 0 0 NA NA 101 0 0 NA NA 465 329 2003 NA NA 1114 711 4134 NA NA
1566162000.0 1040.0 NA 345 35 0 NA NA 662 84 0 NA NA 13418 176 162 NA NA 5986 284 223 NA
1566162000.0 1040.1 NA 59 29 0 NA NA 143 84 0 NA NA 862 288 197 NA NA 3037 1373 918 NA
1566162000.0 10424.0 NA 167 368 0 NA NA 499 705 0 NA NA 1431 3043 1575 NA NA 2174 3203 1767 NA
1566162000.0 105.0 70 98 28 NA NA 185 400 81 NA NA 1130 734 250 NA NA 3352 5210 2152 NA NA
1566162000.0 106.0 33 0 0 NA NA 100 0 0 NA NA 460 264 1734 NA NA 873 309 2255 NA NA
1566162000.0 107.0 86 109 251 NA NA 183 415 592 NA NA 1930 625 2249 NA NA 1546 972 2462 NA NA
