Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1566079200.0 102.0 88 NA NA 162 NA NA 840 NA NA 2763 NA NA
1566079200.0 1325.51 NA 158 0 NA 259 0 NA 1927 195 NA 2658 1244
1566079200.0 510.0 34 0 NA 83 0 NA 344 181 NA 2188 1165 NA
1566079200.0 513.0 14 32 0 58 88 0 586 220 152 2094 1536 611
1566079200.0 516.0 14 38 0 59 89 0 716 213 184 3661 654 718
1566079200.0 519.0 14 37 0 58 90 0 704 220 150 2795 892 451
1566079200.0 521.0 14 33 0 58 90 0 586 219 147 2094 914 610
1566079200.0 525.0 14 38 0 58 89 0 726 207 154 3880 661 404
1566079200.0 527.0 13 33 0 59 90 0 920 226 191 1629 548 794
1566079200.0 535.0 35 0 NA 91 0 NA 736 150 NA 2907 442 NA
1566079200.0 554.0 13 39 0 58 92 0 1593 296 181 2523 893 1069
1566079200.0 562.0 14 36 0 58 90 0 380 219 152 2282 701 509
